data_id,AdaBoostClassifier(DecisionTreeClassifier),BernoulliNB,DecisionTreeClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,MLPClassifier,RandomForestClassifier,SGDClassifier,SVC,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
3,0.9959324155193992,0.8751564455569462,0.9962453066332916,0.991551939924906,0.9790362953692114,0.9652690863579474,0.9953066332916144,0.9887359198998747,0.9624530663329162,0.9386733416770964,1669,3,1527,2,37,3196,0,0,0,37
6,0.88145,0.4215,0.8822,0.9464,0.9194,0.94715,0.9538,0.9421,0.6375500000000001,0.9487,813,26,734,26,17,20000,0,0,16,1
11,0.7648,0.7504000000000001,0.7728,0.8192,0.8704000000000001,0.856,0.9616,0.8144,0.8832,0.9024,288,3,49,3,5,625,0,0,4,1
12,0.8865000000000001,0.882,0.8875,0.9515,0.9605,0.966,0.976,0.9475,0.963,0.9765,200,10,200,10,217,2000,0,0,216,1
14,0.7484999999999999,0.715,0.758,0.7925,0.8245,0.7945,0.828,0.7955,0.7795000000000001,0.836,200,10,200,10,77,2000,0,0,76,1
15,0.944206008583691,0.9670958512160228,0.9470672389127324,0.9670958512160228,0.9628040057224606,0.9685264663805436,0.9713876967095852,0.965665236051502,0.9628040057224606,0.9670958512160228,458,2,241,2,10,699,16,16,9,1
16,0.8234999999999999,0.8584999999999999,0.82,0.913,0.9385,0.9575,0.9645,0.9145,0.9395,0.976,200,10,200,10,65,2000,0,0,64,1
18,0.6884999999999999,0.537,0.649,0.682,0.7070000000000001,0.715,0.747,0.6855,0.677,0.716,200,10,200,10,7,2000,0,0,6,1
22,0.6635,0.634,0.6715000000000001,0.74,0.7705,0.7959999999999999,0.8045,0.7395,0.8029999999999999,0.835,200,10,200,10,48,2000,0,0,47,1
23,0.4867617107942974,0.4677528852681602,0.4806517311608961,0.4684317718940937,0.5668703326544466,0.4847250509164969,0.5369993211133739,0.505091649694501,0.4894772572980313,0.5505770536320435,629,4,333,3,10,1473,0,0,2,8
28,0.901423487544484,0.894661921708185,0.9039145907473308,0.9695729537366548,0.9782918149466192,0.9779359430604982,0.9852313167259787,0.9685053380782918,0.9476868327402136,0.9868327402135232,572,10,554,10,65,5620,0,0,64,1
29,0.8043478260869565,0.8608695652173912,0.8,0.8478260869565217,0.855072463768116,0.8347826086956522,0.8695652173913043,0.8507246376811594,0.8376811594202899,0.8565217391304348,383,14,307,2,16,690,37,67,6,10
31,0.6729999999999999,0.733,0.6890000000000001,0.7290000000000001,0.757,0.735,0.75,0.747,0.6920000000000001,0.746,700,10,300,2,21,1000,0,0,7,14
32,0.9643377001455604,0.8097707423580787,0.9638828238719068,0.9896288209606988,0.9879912663755458,0.9931768558951966,0.994632459970888,0.9870815138282388,0.9269468704512372,0.994632459970888,1144,10,1055,10,17,10992,0,0,16,1
37,0.6875,0.7213541666666667,0.69921875,0.7213541666666667,0.7734375,0.7421875,0.7734375,0.7669270833333333,0.73046875,0.76171875,500,2,268,2,9,768,0,0,8,1
38,0.983032873806999,0.8565747613997879,0.983032873806999,0.9658006362672324,0.9864793213149522,0.9695121951219512,0.9785259809119832,0.9795864262990456,0.9636797454931072,0.964475079533404,3541,5,231,2,30,3772,3772,6064,7,23
44,0.9387089763094979,0.903064551184525,0.9200173875244512,0.9487068028689416,0.9456639860899804,0.908498152575527,0.9491414909802216,0.9478374266463812,0.9176266029124104,0.933058030862856,2788,2,1813,2,58,4601,0,0,57,1
46,0.955485893416928,0.9570532915360502,0.9297805642633228,0.9420062695924764,0.9639498432601882,0.7862068965517242,0.9529780564263324,0.9373040752351096,0.9489028213166144,0.9601880877742948,1655,6,767,3,61,3190,0,0,0,61
50,0.9530271398747392,0.6910229645093946,0.9592901878914404,0.9624217118997912,0.977035490605428,0.9154488517745304,0.9832985386221296,0.9613778705636744,0.9812108559498957,0.8830897703549059,626,3,332,2,10,958,0,0,0,10
54,0.6973995271867612,0.4539007092198582,0.7033096926713948,0.7434988179669031,0.7659574468085107,0.7127659574468085,0.8215130023640661,0.7281323877068557,0.7304964539007092,0.7695035460992908,218,4,199,4,19,846,0,0,18,1
151,0.8911767302259886,0.7300494350282486,0.8909339689265536,0.8784427966101696,0.8349002471751412,0.8378354519774011,0.8236890889830508,0.8950167725988699,0.7601739053672317,0.7928584039548022,26075,7,19237,2,9,45312,0,0,7,2
182,0.8547433903576983,0.6951788491446345,0.8548989113530326,0.9040435458786936,0.9051321928460342,0.9071539657853812,0.9129082426127528,0.8964230171073094,0.8217729393468118,0.8986003110419907,1531,6,625,6,37,6430,0,0,36,1
188,0.6345108695652174,0.5,0.6277173913043478,0.6154891304347826,0.6752717391304348,0.5883152173913043,0.642663043478261,0.6453804347826088,0.5570652173913043,0.657608695652174,214,27,105,5,20,736,95,448,14,6
307,0.8383838383838383,0.3171717171717172,0.8404040404040404,0.9484848484848484,0.91010101010101,0.9191919191919192,0.9747474747474748,0.914141414141414,0.5505050505050505,0.9161616161616162,90,15,90,11,13,990,0,0,10,3
458,0.9381688466111772,0.980975029726516,0.929845422116528,0.971462544589774,0.9857312722948871,0.9952437574316292,0.9964328180737216,0.9821640903686089,0.9952437574316292,0.9952437574316292,317,4,55,4,71,841,0,0,70,1
469,0.2070263488080301,0.2132998745294856,0.19698870765370136,0.20075282308657466,0.1944792973651192,0.19698870765370136,0.2082810539523212,0.1819322459222083,0.18569636135508155,0.2132998745294856,155,9,123,6,5,797,0,0,0,5
1049,0.8964334705075445,0.7537722908093278,0.8923182441700961,0.8936899862825789,0.9032921810699588,0.8888888888888888,0.9190672153635115,0.8998628257887518,0.8861454046639231,0.9046639231824416,1280,2,178,2,38,1458,0,0,37,1
1050,0.8899552143314139,0.7607165706973769,0.8611644273832374,0.8931541906589889,0.8950735764555343,0.8829174664107485,0.8880358285348688,0.8937939859245041,0.8675623800383877,0.8976327575175944,1403,2,160,2,38,1563,0,0,37,1
1053,0.8083601286173634,0.7201653651814424,0.7560863573725309,0.8095544327055579,0.8132292145153882,0.8029398254478641,0.818465778594396,0.8136885622416169,0.8115755627009646,0.8140560404225999,8779,2,2106,2,22,10885,5,25,21,1
1063,0.8103448275862069,0.8026819923371648,0.7835249042145594,0.8275862068965517,0.8218390804597699,0.8333333333333333,0.8295019157088123,0.8065134099616859,0.7835249042145594,0.8371647509578544,415,2,107,2,22,522,0,0,21,1
1067,0.8506401137980086,0.7614983404457089,0.8141299193930773,0.8553816974869606,0.8553816974869606,0.8416311047889995,0.8601232811759129,0.8525367472735894,0.8032242769084874,0.8549075391180655,1783,2,326,2,22,2109,0,0,21,1
1068,0.9323715058611362,0.7457168620378719,0.9071235347159604,0.9368800721370604,0.9323715058611362,0.9242560865644726,0.926961226330027,0.9377817853922452,0.9062218214607756,0.9287646528403968,1032,2,77,2,22,1109,0,0,21,1
1461,0.8755833757271461,0.8522483466413041,0.8758266793479463,0.8958660502974939,0.9063281059919046,0.8956006281657118,0.8994050120545884,0.9019486408175,0.8977682422419323,0.8977240052199685,39922,12,5289,2,17,45211,0,0,7,10
1462,0.987609329446064,0.8447521865889214,0.9868804664723032,0.998542274052478,0.9956268221574344,0.998542274052478,1.0,0.989067055393586,0.9839650145772596,1.0,762,2,610,2,5,1372,0,0,4,1
1464,0.7393048128342247,0.7473262032085561,0.71524064171123,0.7366310160427807,0.7727272727272727,0.7767379679144385,0.8048128342245989,0.75,0.7393048128342247,0.7780748663101604,570,2,178,2,5,748,0,0,4,1
1475,0.6189931350114416,0.3440666884602811,0.5570447858777379,0.6052631578947368,0.577639751552795,0.5635828702190259,0.5534488394900294,0.5977443609022557,0.42203334423014055,0.531873161163779,2554,6,486,6,52,6118,0,0,51,1
